0e de f2 b4 8e 85 9b c1 fc 1d 5f 7b aa 87 d7 cd e6 9b c1 45 3d 82 8c 11 e6 f6 3c 9e ac be 3f 86 52 11070 4 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\DEBUG\ENUMPROCESSES.EXE
13 92 9b e7 83 89 75 8e 7c 3c a7 d0 52 cd c8 1c 05 5a bd b9 b8 33 6a e1 72 e1 3c 1b a7 36 af a2 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\MY MUSIC\SAMPLE MUSIC.LNK
15 70 f5 98 10 0c be 5e a4 8e 97 73 5f 6e d8 8e 9c 01 7d 2f 65 b3 54 57 56 74 d0 a3 64 dd e9 d2 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\VISUAL STUDIO 2008\VISUALIZERS\ATTRIBCACHE90.BIN
16 d3 e6 fa ed 35 78 cd 6b 47 9c 27 91 00 ef 2a 96 b9 d2 8b f9 a7 92 61 de 04 a2 2d bb d0 c2 53 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\DEBUG\TESTDLL2.DLL
19 6a 86 62 ae af 6a 9e d7 4a 17 c2 08 6b 56 d9 93 89 1b 42 14 1d be e0 a2 5d 96 3e 7f dd 0b aa 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\MSNDETOURDLL\DEBUG\VC90.PDB
1c c9 62 ab 89 bd da a5 90 aa 90 a9 cf f3 23 ba 65 63 f9 8a 62 4a 52 2a d1 ec a7 ae e7 9c 2c 06 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\TRANSACTIONAL_NTFS_SRC\MAKEFILE
1f 02 b3 14 90 76 ff 94 8c f5 a3 e0 c2 3a cd ee 15 6c 67 2b f5 05 39 38 25 a8 e4 2d 43 33 e9 9a 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\WINSPY_PACKAGE\HOOKINJEX_SRC\HOOKINJEX_DLL\HOOKINJEX_DLL.H
20 2c 2e 01 17 39 22 f2 5e 7b 2c 61 15 45 bc de c7 e6 d5 53 3f c1 4a a2 f3 8a 75 1a 31 77 53 bb 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\WINSPY_PACKAGE\INJECTEX_SRC\OFFSET.TXT
21 6a 26 34 6d 5f b4 6d e9 4e 7b 08 8f 04 e3 81 5f 10 57 ca 32 f0 80 8b f9 95 ff 6c be 9d eb e2 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\ENUMPROCESSES\DEBUG\BUILDLOG.HTM
22 9c f4 e3 d9 44 87 de d9 96 c6 7f 51 45 3d 3a e2 7b 43 b1 59 55 2e 1f 21 66 37 aa b8 9a 13 24 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\ENUMPROCESSES\ENUMPROCESSES.VCPROJ
23 40 8f 9e 6f 95 7f 94 98 93 31 71 cd 71 e3 98 b9 a7 a0 cb 40 62 2c 47 27 33 55 56 ef e7 66 1b 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\DETOURED.DLL
24 6a 92 89 fc 3a 3c f9 26 4d 9e a7 37 bb 77 6f b6 e4 5c 4f a0 e1 9f ce ac eb 58 06 7a 78 85 0d 52 11071 4 C:\MAG_REPO\CLAMTOOLS\BIN\FRESHCLAM.EXE
26 b5 c2 b2 13 0c 2f 3e 8d 36 e0 28 54 74 74 fa 27 54 03 37 a1 0e 0e 6f d1 6a 40 ae 5c 73 32 c9 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\MSNDETOURDLL\RESOURCE.H
28 b1 2d df 03 24 f7 37 93 b7 0a 70 63 43 a6 c6 12 1e 5a 09 c8 b2 99 8c 5e 80 22 9b e0 c4 22 b9 52 11070 1 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\VISUAL STUDIO 2008\SETTINGS\CURRENTSETTINGS.VSSETTINGS
